"","data_id","iso","event_id_cnty","event_id_no_cnty","event_date","year","time_precision","event_type","sub_event_type","actor1","assoc_actor_1","inter1","actor2","assoc_actor_2","inter2","interaction","region","country","admin1","admin2","admin3","location","latitude","longitude","geo_precision","source","source_scale","notes","fatalities","timestamp","iso3","timeseries"
"1",8394548,729,"SUD15369",15369,"23 July 2021",2021,1,"Riots","Violent demonstration","Rioters (Sudan)",NA,5,NA,NA,0,50,"Northern Africa","Sudan","Gedaref","Madeinat Al Gedaref",NA,"Gedaref",14.0479,35.3884,1,"Sudan Akhbar; Al Rakoba","National","On 23 July 2021, demonstrators gathered on the main street of Gedaref city (Madeinat Al Gedaref locality, Gedaref state) and barricaded road with rocks and burning tires. The demonstrators demanded the Governor of the states to address the excavation of ancient tombs and agricultural land, and demanded that farmers who have occupied the land be removed by authorities. Some windows of vehicles were smashed by the demonstrators. [size=no report]",0,1627328512,"SDN",2021-07-23
"2",8394935,729,"SUD15368",15368,"23 July 2021",2021,1,"Violence against civilians","Abduction/forced disappearance","Amhara Ethnic Militia (Ethiopia)",NA,4,"Civilians (Sudan)","Pastoralists (Sudan); Fellata Ethnic Group (Sudan)",7,47,"Northern Africa","Sudan","Gedaref","Basundah",NA,"Gallabat",12.962,36.1487,2,"Sudan Tribune","National","On 23 July 2021, three teenage pastoralists (described as being from the Fellata/Mbororo ethnic group) were abducted by Amhara militia close to Gallabat town (Basundah locality, Gedaref state), reportedly for ransom.",0,1627328513,"SDN",2021-07-23
"3",8394547,729,"SUD15367",15367,"22 July 2021",2021,1,"Violence against civilians","Attack","Unidentified Armed Group (Sudan)",NA,3,"Civilians (Sudan)","Farmers (Sudan)",7,37,"Northern Africa","Sudan","North Darfur","Kutum",NA,"Kutum",14.2065,24.6499,2,"Al Rakoba; Radio Dabanga","National","On 22 July 2021, armed men on motorbikes looted livestock and farming equipment from Hillat Bashir village (one source says Fulo village) in Kutum locality (North Darfur state), and beat four farmers (one report says one of the farmers was shot). Two of the attackers were later arrested.",0,1627328512,"SDN",2021-07-22
"4",8394546,729,"SUD15366",15366,"21 July 2021",2021,1,"Battles","Armed clash","Unidentified Communal Militia (Sudan)","Pastoralists (Sudan)",4,"Unidentified Communal Militia (Sudan)","Farmers (Sudan)",4,44,"Northern Africa","Sudan","Blue Nile","Al Tadamon",NA,"Roro",11.8978,33.6549,1,"Radio Dabanga; Radio Tamazuj","National","On 21 July 2021, pastoralists and farmers clashed in Roro (Al Tadamon locality, Bule Nile state), after pastoralists invaded agricultural lands, indicating that the events took a dangerous turn after the use of weapons and light machine guns. One person was killed, and a number of people (with estimate ranging between 5 and 27 people) were injured.",1,1627328512,"SDN",2021-07-21
"5",8394854,729,"SUD15365",15365,"21 July 2021",2021,1,"Protests","Peaceful protest","Protesters (Sudan)","Labour Group (Sudan)",6,NA,NA,0,60,"Northern Africa","Sudan","Khartoum","Khartoum",NA,"Khartoum",15.5725,32.5364,1,"Radio Dabanga","National","On 21 July 2021, former employees of the Civil Aviation Authority who were dismissed from their jobs demonstrated in Khartoum (Khartoum state). The demonstrators demanded salaries dating back to January 2021, and to also receive their Eid grant. [size=no report]",0,1627328512,"SDN",2021-07-21
"6",8394855,729,"SUD15364",15364,"21 July 2021",2021,1,"Protests","Peaceful protest","Protesters (Sudan)",NA,6,NA,NA,0,60,"Northern Africa","Sudan","Khartoum","Khartoum",NA,"Khartoum",15.5725,32.5364,1,"Radio Dabanga","National","On 21 July 2021, local residents carried a demonstration during the Eid al-Adha celebration and demanded the recovery of the lands of the Hamadab area of Khartoum (Khartoum state). [size=no report]",0,1627328512,"SDN",2021-07-21
"7",8394852,729,"SUD15362",15362,"20 July 2021",2021,1,"Protests","Peaceful protest","Protesters (Sudan)",NA,6,NA,NA,0,60,"Northern Africa","Sudan","Gedaref","Madeinat Al Gedaref",NA,"Gedaref",14.0479,35.3884,2,"Radio Dabanga","National","On 20 July 2021, demonstrators gathered in Maqta area [coded to Gedaref, Madeinat Al Gedaref locality, Gedaref state], warning against the destruction of forest and announced the protection the elephant forest. [size=no report]",0,1627328512,"SDN",2021-07-20
"8",8394856,729,"SUD15361",15361,"20 July 2021",2021,1,"Protests","Peaceful protest","Protesters (Sudan)",NA,6,NA,NA,0,60,"Northern Africa","Sudan","North Darfur","Al Fasher",NA,"El Fasher",13.6264,25.3559,1,"Radio Dabanga","National","On 20 July 2021, hundreds of demonstrators gathered in El Fasher city (Al Fasher locality, North Darfur state), denouncing the recent violence at Sortony, and calling for increased protection for the internally displaced. [size=hundreds]",0,1627328512,"SDN",2021-07-20
"9",8394692,729,"SUD15363",15363,"20 July 2021",2021,1,"Protests","Protest with intervention","Protesters (Sudan)","Resistance Committees (Sudan)",6,"Police Forces of Sudan (2019-)",NA,1,16,"Northern Africa","Sudan","South Darfur","Nyala Janoub",NA,"Nyala",12.0556,24.8906,1,"Darfur 24","National","On 20 July 2021, dozens of demonstrators (including Resistance Committee members) gathered in Nyala city (Nyala Janoub locality, South Darfur state), demanding the resignation of the governor of South Darfur, and an end to the appointment of governors from the capital city. Police arrested three demonstrators. [size=dozens]",0,1627328512,"SDN",2021-07-20
"10",8394756,729,"SUD15360",15360,"19 July 2021",2021,1,"Violence against civilians","Attack","Military Forces of Sudan (2019-) Rapid Support Forces","PDF: Popular Defence Forces; Hawazmah-Dar Ali-Sub-Clan Group (Sudan); Baggara Ethnic Group (Sudan)",1,"Civilians (Sudan)","Kawahala Ethnic Group (Sudan)",7,17,"Northern Africa","Sudan","South Kordofan","Ghadeer",NA,"Kologi",10.8575,30.9839,1,"Hudo Centre","National","On 19 July 2021, members of the Dar Ali section of the Hawazmah Baggara clan, who were described as wearing the uniforms of RSF and PDF paramilitaries (and have been coded as such), attacked civilians from Kawahala ethnic group in Kologi town (Ghadeer locality, South Kordofan state). Six people were killed. The violence is the latest in a series of events in and around the town.",6,1627328512,"SDN",2021-07-19
